road_id,road_name,state,rainfall_last_1h,rainfall_last_24h,forecast_rainfall_6h,forecast_rainfall_12h,forecast_rainfall_24h,severe_weather_flag,historical_incident_count,historical_landslide_count,historical_flood_count,previous_road_closures,road_condition_score,elevation,slope,recent_incident_count,recent_incident_severity_score,current_risk_score,disrupted
11,NH-10 Teesta River Canyon,Sikkim,0.0,0.3,10.8,21.6,43.1,False,8,2,6,2,96.5,1420.3,40.3,1,95.0,50.3,1
1,NH-27 Assam Arterial,Assam,0.4,1.6,4.6,9.1,18.2,False,3,2,1,1,24.4,50.0,12.0,0,0.0,10.4,0
5,SH-05 Cherrapunjee Highland,Meghalaya,1.0,8.4,2.7,5.4,10.7,False,10,7,3,0,32.1,1544.7,29.4,2,45.0,37.6,0
5,SH-05 Cherrapunjee Highland,Meghalaya,1.7,9.5,1.5,3.0,6.0,False,4,4,0,1,99.9,1516.8,25.1,0,0.0,29.9,0
7,NH-102 Moreh Border,Manipur,3.0,11.6,3.2,6.3,12.7,False,1,0,1,0,51.1,758.8,20.6,0,0.0,14.1,1
5,SH-05 Cherrapunjee Highland,Meghalaya,5.8,15.3,1.4,2.7,4.0,False,4,4,0,0,59.9,1382.5,30.2,1,75.0,44.8,0
6,NH-02 Imphal Lifeline,Manipur,0.2,0.9,0.7,1.5,3.0,False,4,4,0,0,81.5,779.9,13.6,0,0.0,23.1,0
7,NH-102 Moreh Border,Manipur,4.1,14.7,1.1,2.2,4.4,False,2,2,0,1,57.4,471.9,17.9,4,45.0,30.4,1
9,NH-54 Aizawl Ridge,Mizoram,0.1,0.8,2.6,5.1,10.3,False,5,3,2,2,42.4,1312.1,31.8,0,0.0,18.9,1
7,NH-102 Moreh Border,Manipur,8.7,47.5,1.5,2.3,5.4,False,1,1,0,0,34.8,536.1,16.2,3,75.0,38.7,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,3.9,17.0,1.9,3.8,7.6,False,8,4,4,1,48.5,1955.2,43.5,0,0.0,27.4,0
7,NH-102 Moreh Border,Manipur,0.8,3.4,4.0,7.9,15.9,False,2,0,2,2,32.5,661.3,23.4,0,0.0,10.2,0
7,NH-102 Moreh Border,Manipur,1.4,11.3,4.4,8.7,17.5,False,2,1,1,0,55.1,683.8,5.0,0,0.0,13.5,0
9,NH-54 Aizawl Ridge,Mizoram,0.8,4.0,2.3,4.6,9.2,False,7,6,1,0,33.3,1071.8,27.9,3,95.0,47.1,1
8,NH-29 Kohima Mountain,Nagaland,2.2,8.2,0.4,0.7,1.4,False,8,1,7,0,55.0,1717.0,35.0,0,0.0,18.9,0
12,NH-27S Haflong Hill,Assam,6.0,31.2,10.5,24.4,45.9,True,4,1,3,1,45.4,765.5,25.5,3,45.0,31.4,1
4,NH-06 Meghalaya Corridor,Meghalaya,1.1,9.4,1.8,3.6,7.1,False,6,2,4,0,17.6,1344.0,17.0,1,95.0,35.7,1
8,NH-29 Kohima Mountain,Nagaland,2.7,10.6,0.0,0.1,0.1,False,2,2,0,1,56.2,1517.7,35.5,0,0.0,21.6,0
10,NH-08 Tripura Central,Tripura,11.8,33.3,1.6,3.7,6.7,False,2,1,1,0,47.7,50.0,10.7,2,95.0,41.7,1
12,NH-27S Haflong Hill,Assam,16.5,85.0,19.2,40.2,75.7,True,4,4,0,1,47.9,863.3,38.3,0,0.0,39.9,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,0.2,0.7,0.2,0.4,0.7,False,1,1,0,2,66.9,1863.5,41.1,0,0.0,20.4,0
8,NH-29 Kohima Mountain,Nagaland,1.8,16.9,1.9,3.8,5.6,False,4,4,0,2,81.5,1528.6,33.6,0,0.0,30.3,0
8,NH-29 Kohima Mountain,Nagaland,3.1,13.4,0.3,0.7,1.4,False,5,3,2,0,68.7,1596.2,33.8,0,0.0,25.7,0
8,NH-29 Kohima Mountain,Nagaland,0.7,2.7,4.9,9.9,19.8,False,9,3,6,0,44.5,1580.0,28.1,0,0.0,18.8,0
9,NH-54 Aizawl Ridge,Mizoram,13.7,38.8,27.9,48.3,85.8,True,7,1,6,0,36.7,1338.0,28.7,0,0.0,21.0,0
4,NH-06 Meghalaya Corridor,Meghalaya,1.8,12.9,2.0,4.0,8.1,False,5,0,5,1,47.8,1332.3,27.9,0,0.0,15.3,0
4,NH-06 Meghalaya Corridor,Meghalaya,3.2,21.8,11.0,15.7,23.7,True,6,1,5,1,96.0,1512.9,20.7,3,75.0,43.6,1
9,NH-54 Aizawl Ridge,Mizoram,1.0,3.7,17.7,30.4,53.6,True,5,1,4,3,39.1,1078.7,28.8,2,45.0,25.6,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,3.8,13.7,41.1,60.5,86.5,False,7,3,4,1,22.2,1570.0,34.8,1,45.0,30.3,1
7,NH-102 Moreh Border,Manipur,27.6,155.4,15.8,24.2,36.5,True,2,1,1,0,75.9,645.9,26.6,0,0.0,48.7,0
1,NH-27 Assam Arterial,Assam,1.5,11.6,2.4,4.7,9.4,False,0,0,0,0,27.9,51.4,2.1,0,0.0,6.9,1
6,NH-02 Imphal Lifeline,Manipur,5.8,15.6,5.6,9.0,18.7,False,2,1,1,0,63.3,616.4,27.3,0,0.0,20.1,0
9,NH-54 Aizawl Ridge,Mizoram,0.0,0.2,8.3,16.5,33.1,False,4,4,0,1,58.3,1207.8,30.5,0,0.0,22.9,1
4,NH-06 Meghalaya Corridor,Meghalaya,3.2,23.7,2.4,5.0,10.7,False,5,0,5,2,57.9,1289.2,6.5,4,75.0,33.5,0
8,NH-29 Kohima Mountain,Nagaland,1.0,4.2,2.0,3.9,7.9,False,4,3,1,2,49.5,1655.6,33.9,0,0.0,21.1,0
10,NH-08 Tripura Central,Tripura,42.0,116.4,6.6,9.5,17.7,True,1,0,1,0,26.5,92.5,14.3,4,75.0,48.9,1
8,NH-29 Kohima Mountain,Nagaland,20.3,95.0,30.9,67.0,97.1,True,9,7,2,0,61.6,1519.2,26.3,3,75.0,66.2,1
6,NH-02 Imphal Lifeline,Manipur,6.6,52.5,49.2,89.2,139.1,True,7,1,6,1,53.5,1066.9,24.0,0,0.0,25.3,1
7,NH-102 Moreh Border,Manipur,4.1,11.4,38.3,62.5,111.1,True,3,1,2,1,30.9,597.0,19.3,1,95.0,36.5,0
1,NH-27 Assam Arterial,Assam,0.1,0.8,0.4,0.8,1.5,False,1,1,0,0,44.7,104.5,15.4,0,0.0,11.9,0
11,NH-10 Teesta River Canyon,Sikkim,2.2,7.4,6.5,15.5,25.6,True,9,6,3,3,64.7,1740.3,38.2,1,75.0,49.6,0
4,NH-06 Meghalaya Corridor,Meghalaya,12.2,33.9,18.3,26.4,51.4,False,2,2,0,3,61.9,1583.3,20.8,0,0.0,24.2,1
12,NH-27S Haflong Hill,Assam,2.0,6.6,10.3,21.7,50.6,False,1,1,0,1,82.8,792.0,33.7,0,0.0,22.5,0
12,NH-27S Haflong Hill,Assam,19.1,122.6,1.6,2.5,5.3,True,4,2,2,0,55.4,996.3,31.0,0,0.0,43.0,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,9.2,40.1,8.3,13.1,24.8,False,8,2,6,4,57.5,2000.2,30.3,4,45.0,37.9,1
12,NH-27S Haflong Hill,Assam,6.0,24.7,0.6,1.3,3.0,False,5,2,3,0,57.7,803.6,23.5,0,0.0,22.3,1
12,NH-27S Haflong Hill,Assam,0.9,5.8,6.7,13.4,26.8,False,3,3,0,0,18.6,1051.1,19.7,0,0.0,13.9,1
10,NH-08 Tripura Central,Tripura,1.2,4.2,3.1,6.3,12.5,False,1,1,0,0,31.3,101.7,5.3,0,0.0,8.6,0
9,NH-54 Aizawl Ridge,Mizoram,0.7,3.9,1.2,2.3,4.6,True,3,1,2,3,52.3,1301.4,29.4,0,0.0,16.5,0
7,NH-102 Moreh Border,Manipur,2.3,8.1,2.4,4.7,9.5,False,2,1,1,0,94.2,395.4,12.1,0,0.0,20.2,0
7,NH-102 Moreh Border,Manipur,0.3,2.5,16.5,26.7,53.2,False,5,2,3,3,33.5,577.2,5.1,0,0.0,10.5,0
9,NH-54 Aizawl Ridge,Mizoram,1.2,7.0,2.3,4.6,9.2,False,5,2,3,0,41.9,1446.5,38.4,0,0.0,19.4,0
6,NH-02 Imphal Lifeline,Manipur,0.7,4.2,2.8,5.7,11.3,False,4,2,2,0,50.1,948.6,25.3,4,45.0,28.7,1
8,NH-29 Kohima Mountain,Nagaland,0.2,2.2,5.8,14.3,31.9,False,6,6,0,1,82.3,1547.5,24.9,4,95.0,53.5,0
3,NH-229 Sela Pass,Arunachal Pradesh,6.1,31.9,3.7,8.9,19.5,False,8,8,0,0,32.9,3887.6,57.9,3,45.0,48.6,0
12,NH-27S Haflong Hill,Assam,7.5,26.6,3.2,6.4,12.8,False,4,4,0,2,25.9,888.3,34.3,0,0.0,24.1,1
4,NH-06 Meghalaya Corridor,Meghalaya,0.5,1.8,1.2,2.4,4.9,False,8,2,6,2,68.1,1323.6,23.2,0,0.0,19.2,0
11,NH-10 Teesta River Canyon,Sikkim,1.3,5.7,6.5,13.0,26.1,False,6,5,1,4,50.5,1828.8,47.1,3,75.0,46.9,1
12,NH-27S Haflong Hill,Assam,24.0,80.6,36.1,61.7,94.4,True,2,2,0,1,55.8,914.8,16.6,0,0.0,31.8,1
9,NH-54 Aizawl Ridge,Mizoram,1.1,4.4,26.1,63.0,102.9,True,2,2,0,2,53.4,1018.9,29.2,3,75.0,37.5,1
8,NH-29 Kohima Mountain,Nagaland,7.2,24.4,3.1,5.7,8.5,False,5,5,0,1,53.5,1523.5,21.0,2,45.0,38.3,1
12,NH-27S Haflong Hill,Assam,6.4,54.6,17.8,44.5,89.8,False,2,1,1,1,40.2,973.8,22.8,2,45.0,34.8,0
5,SH-05 Cherrapunjee Highland,Meghalaya,0.7,2.5,0.9,1.9,3.8,False,10,1,9,1,59.2,1254.4,37.1,0,0.0,18.8,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,3.3,11.5,3.0,6.1,12.1,False,4,4,0,1,46.9,2035.3,32.1,0,0.0,23.7,0
12,NH-27S Haflong Hill,Assam,14.2,58.9,38.7,64.1,137.9,True,5,3,2,1,49.1,922.4,24.7,1,45.0,41.3,1
12,NH-27S Haflong Hill,Assam,0.9,5.8,4.5,9.0,18.0,False,1,1,0,0,66.0,817.3,12.2,0,0.0,15.5,1
1,NH-27 Assam Arterial,Assam,5.1,49.7,15.5,27.9,40.5,False,1,1,0,1,47.5,50.0,6.6,2,45.0,31.6,0
5,SH-05 Cherrapunjee Highland,Meghalaya,0.0,0.1,3.7,7.4,14.8,False,3,3,0,4,44.6,1240.6,34.9,0,0.0,19.7,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,11.8,36.4,12.0,17.4,41.7,False,7,1,6,3,74.5,1730.4,37.0,3,45.0,39.1,1
4,NH-06 Meghalaya Corridor,Meghalaya,11.0,61.7,9.1,18.6,27.5,False,3,1,2,1,86.4,1208.9,25.1,0,0.0,32.3,0
4,NH-06 Meghalaya Corridor,Meghalaya,0.1,0.6,4.1,8.2,16.4,False,3,1,2,0,60.6,1451.0,21.4,0,0.0,15.5,0
10,NH-08 Tripura Central,Tripura,3.6,25.9,7.6,15.1,30.2,False,4,1,3,0,53.9,104.4,9.2,0,0.0,17.1,0
12,NH-27S Haflong Hill,Assam,50.3,131.2,80.8,116.5,209.4,True,4,3,1,2,62.9,762.8,20.5,0,0.0,45.8,1
5,SH-05 Cherrapunjee Highland,Meghalaya,0.8,3.1,3.3,6.5,13.1,False,3,3,0,2,83.6,1202.6,43.9,1,95.0,51.7,1
7,NH-102 Moreh Border,Manipur,45.3,165.8,8.7,18.3,28.7,True,3,0,3,1,46.6,559.9,6.8,0,0.0,38.4,1
4,NH-06 Meghalaya Corridor,Meghalaya,0.2,2.2,4.0,8.3,12.5,False,6,6,0,1,66.0,1262.1,26.2,0,0.0,27.6,1
4,NH-06 Meghalaya Corridor,Meghalaya,0.2,1.9,0.2,0.4,0.7,False,7,3,4,0,48.5,1386.9,21.0,0,0.0,17.8,0
4,NH-06 Meghalaya Corridor,Meghalaya,2.5,7.5,0.0,0.0,0.0,False,2,2,0,0,62.0,1551.9,17.1,0,0.0,18.2,0
3,NH-229 Sela Pass,Arunachal Pradesh,5.8,30.2,10.1,15.7,25.6,True,9,6,3,2,74.5,3919.4,47.8,3,45.0,50.0,1
8,NH-29 Kohima Mountain,Nagaland,1.2,5.8,1.2,2.3,4.6,False,11,6,5,2,41.2,1588.1,28.8,0,0.0,25.1,0
8,NH-29 Kohima Mountain,Nagaland,0.5,1.4,0.3,0.5,0.7,False,6,5,1,1,35.8,1736.7,25.3,0,0.0,20.7,0
10,NH-08 Tripura Central,Tripura,34.0,112.8,28.9,49.2,103.5,True,3,1,2,0,66.5,50.0,2.4,1,45.0,46.3,0
11,NH-10 Teesta River Canyon,Sikkim,1.9,10.6,0.2,0.4,0.7,False,9,4,5,1,61.1,1492.7,46.1,0,0.0,28.5,1
9,NH-54 Aizawl Ridge,Mizoram,0.1,0.6,0.5,1.0,2.0,False,5,2,3,0,69.1,987.9,29.2,4,95.0,44.1,1
8,NH-29 Kohima Mountain,Nagaland,0.9,7.4,0.2,0.4,0.8,False,6,0,6,1,72.2,1327.1,39.1,0,0.0,20.1,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,1.2,7.5,0.8,1.6,3.2,False,7,4,3,0,64.3,1620.3,37.1,0,0.0,26.6,0
7,NH-102 Moreh Border,Manipur,1.1,4.1,0.5,1.0,2.1,False,2,0,2,0,39.3,640.7,17.4,0,0.0,10.2,0
6,NH-02 Imphal Lifeline,Manipur,31.1,135.3,6.4,10.3,19.5,True,0,0,0,1,35.9,1024.1,20.6,0,0.0,36.6,0
1,NH-27 Assam Arterial,Assam,0.4,2.5,0.2,0.3,0.6,False,2,1,1,2,47.7,50.0,2.0,0,0.0,10.1,1
6,NH-02 Imphal Lifeline,Manipur,1.9,7.7,3.3,6.7,13.4,False,2,2,0,1,88.5,1146.0,25.8,0,0.0,24.0,1
5,SH-05 Cherrapunjee Highland,Meghalaya,4.9,15.7,11.5,19.3,36.3,False,5,2,3,2,84.0,1187.4,33.0,4,75.0,45.1,1
11,NH-10 Teesta River Canyon,Sikkim,0.3,2.4,0.4,0.9,1.7,False,7,5,2,5,57.9,1732.9,30.7,1,75.0,44.0,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,6.1,38.5,50.0,76.7,127.3,True,6,2,4,0,85.4,1722.3,34.7,0,0.0,31.4,1
2,NH-13 Trans-Arunachal,Arunachal Pradesh,0.2,1.4,0.0,0.1,0.2,False,4,3,1,0,72.4,1643.4,30.6,0,0.0,23.3,0
12,NH-27S Haflong Hill,Assam,6.8,29.6,18.8,30.8,50.6,False,5,2,3,1,63.7,1163.3,22.0,0,0.0,23.9,1
9,NH-54 Aizawl Ridge,Mizoram,10.1,27.4,4.3,8.2,14.9,True,2,2,0,0,58.7,1292.1,40.6,0,0.0,26.4,0
3,NH-229 Sela Pass,Arunachal Pradesh,2.9,14.8,1.0,2.0,4.1,False,8,4,4,2,63.8,3908.4,38.4,0,0.0,28.2,0
9,NH-54 Aizawl Ridge,Mizoram,8.8,25.9,14.7,25.8,36.9,True,3,1,2,2,48.4,1347.7,23.2,0,0.0,19.1,0
10,NH-08 Tripura Central,Tripura,3.3,13.1,2.0,4.0,8.0,False,0,0,0,1,45.0,79.0,2.1,4,75.0,28.5,1
9,NH-54 Aizawl Ridge,Mizoram,1.9,7.8,0.5,0.9,1.9,False,10,3,7,1,52.3,1194.4,21.6,0,0.0,19.7,0
12,NH-27S Haflong Hill,Assam,1.4,11.4,25.8,39.9,77.4,False,7,2,5,0,63.1,985.3,18.8,0,0.0,19.5,0
6,NH-02 Imphal Lifeline,Manipur,2.3,8.7,3.8,7.5,15.1,False,2,2,0,0,51.7,1032.4,12.6,0,0.0,16.0,0
11,NH-10 Teesta River Canyon,Sikkim,0.9,3.1,5.5,11.0,21.9,False,8,7,1,1,59.6,1680.5,43.8,1,75.0,51.1,1
10,NH-08 Tripura Central,Tripura,8.9,45.9,13.1,32.4,69.0,True,3,2,1,0,46.6,117.4,15.3,0,0.0,23.2,1
8,NH-29 Kohima Mountain,Nagaland,18.1,77.7,19.3,41.3,79.9,True,11,1,10,2,54.1,1523.6,43.8,0,0.0,34.4,0
2,NH-13 Trans-Arunachal,Arunachal Pradesh,19.4,65.7,5.5,9.4,20.9,False,6,0,6,4,8.5,1856.5,37.3,4,45.0,33.1,1
6,NH-02 Imphal Lifeline,Manipur,1.1,6.8,6.4,12.7,25.4,False,3,0,3,1,54.7,935.5,27.6,0,0.0,15.1,0
12,NH-27S Haflong Hill,Assam,4.0,17.2,0.6,1.2,2.4,False,7,5,2,1,48.8,819.1,23.5,0,0.0,25.5,0
4,NH-06 Meghalaya Corridor,Meghalaya,0.3,2.5,0.5,0.9,1.8,False,5,2,3,0,39.6,1217.7,21.7,0,0.0,14.8,0
7,NH-102 Moreh Border,Manipur,0.8,3.5,0.2,0.3,0.6,False,2,2,0,0,70.3,362.3,15.1,0,0.0,18.3,1
